HCHO Reading,Location,Current Date,Next Date
,"Deniyaya, Matara",2019-10-30,2019-10-31
0.0002290918466488,"Deniyaya, Matara",2019-10-31,2019-11-01
,"Deniyaya, Matara",2019-11-01,2019-11-02
-0.0001996380306081,"Deniyaya, Matara",2019-11-02,2019-11-03
,"Deniyaya, Matara",2019-11-03,2019-11-04
,"Deniyaya, Matara",2019-11-04,2019-11-05
,"Deniyaya, Matara",2019-11-05,2019-11-06
0.0002161975617461,"Deniyaya, Matara",2019-11-06,2019-11-07
0.0001877186378125,"Deniyaya, Matara",2019-11-07,2019-11-08
7.553392172272982e-05,"Deniyaya, Matara",2019-11-08,2019-11-09
,"Deniyaya, Matara",2019-11-09,2019-11-10
,"Deniyaya, Matara",2019-11-10,2019-11-11
0.0002234721468994,"Deniyaya, Matara",2019-11-11,2019-11-12
,"Deniyaya, Matara",2019-11-12,2019-11-13
0.0001128827506019,"Deniyaya, Matara",2019-11-13,2019-11-14
5.815962265760409e-05,"Deniyaya, Matara",2019-11-14,2019-11-15
-9.728603617986664e-05,"Deniyaya, Matara",2019-11-15,2019-11-16
6.111619864362443e-05,"Deniyaya, Matara",2019-11-16,2019-11-17
0.0001113500110585,"Deniyaya, Matara",2019-11-17,2019-11-18
8.669282646079637e-05,"Deniyaya, Matara",2019-11-18,2019-11-19
,"Deniyaya, Matara",2019-11-19,2019-11-20
6.167588874374884e-05,"Deniyaya, Matara",2019-11-20,2019-11-21
8.329670267707673e-05,"Deniyaya, Matara",2019-11-21,2019-11-22
0.000158744442784,"Deniyaya, Matara",2019-11-22,2019-11-23
-9.125054756451936e-06,"Deniyaya, Matara",2019-11-23,2019-11-24
-9.875609976006672e-05,"Deniyaya, Matara",2019-11-24,2019-11-25
-0.0001494041498517,"Deniyaya, Matara",2019-11-25,2019-11-26
,"Deniyaya, Matara",2019-11-26,2019-11-27
8.082623468883076e-05,"Deniyaya, Matara",2019-11-27,2019-11-28
,"Deniyaya, Matara",2019-11-28,2019-11-29
0.0001039900997813,"Deniyaya, Matara",2019-11-29,2019-11-30
,"Deniyaya, Matara",2019-11-30,2019-12-01
0.0001545732520753,"Deniyaya, Matara",2019-12-01,2019-12-02
0.0002290982823012,"Deniyaya, Matara",2019-12-02,2019-12-03
,"Deniyaya, Matara",2019-12-03,2019-12-04
,"Deniyaya, Matara",2019-12-04,2019-12-05
,"Deniyaya, Matara",2019-12-05,2019-12-06
6.279132131055396e-05,"Deniyaya, Matara",2019-12-06,2019-12-07
,"Deniyaya, Matara",2019-12-07,2019-12-08
,"Deniyaya, Matara",2019-12-08,2019-12-09
,"Deniyaya, Matara",2019-12-09,2019-12-10
3.668150748126209e-05,"Deniyaya, Matara",2019-12-10,2019-12-11
,"Deniyaya, Matara",2019-12-11,2019-12-12
,"Deniyaya, Matara",2019-12-12,2019-12-13
4.62315488663879e-06,"Deniyaya, Matara",2019-12-13,2019-12-14
0.0001486373962426,"Deniyaya, Matara",2019-12-14,2019-12-15
0.0001227165762943,"Deniyaya, Matara",2019-12-15,2019-12-16
0.0001229212800705,"Deniyaya, Matara",2019-12-16,2019-12-17
,"Deniyaya, Matara",2019-12-17,2019-12-18
