HCHO Reading,Location,Current Date,Next Date
0.000120556111031,Jaffna Proper,2020-08-30,2020-08-31
0.0001225031608854,Jaffna Proper,2020-08-31,2020-09-01
0.0003973778254651,Jaffna Proper,2020-09-01,2020-09-02
,Jaffna Proper,2020-09-02,2020-09-03
3.755753456526905e-05,Jaffna Proper,2020-09-03,2020-09-04
5.0778490596755854e-05,Jaffna Proper,2020-09-04,2020-09-05
,Jaffna Proper,2020-09-05,2020-09-06
0.0001062828669674,Jaffna Proper,2020-09-06,2020-09-07
,Jaffna Proper,2020-09-07,2020-09-08
0.0001386512988306,Jaffna Proper,2020-09-08,2020-09-09
,Jaffna Proper,2020-09-09,2020-09-10
,Jaffna Proper,2020-09-10,2020-09-11
,Jaffna Proper,2020-09-11,2020-09-12
,Jaffna Proper,2020-09-12,2020-09-13
,Jaffna Proper,2020-09-13,2020-09-14
4.040395532417639e-05,Jaffna Proper,2020-09-14,2020-09-15
0.0001247399650792,Jaffna Proper,2020-09-15,2020-09-16
8.483595352892847e-05,Jaffna Proper,2020-09-16,2020-09-17
6.18884835752605e-05,Jaffna Proper,2020-09-17,2020-09-18
,Jaffna Proper,2020-09-18,2020-09-19
,Jaffna Proper,2020-09-19,2020-09-20
,Jaffna Proper,2020-09-20,2020-09-21
0.0001707008459289,Jaffna Proper,2020-09-21,2020-09-22
3.432849169160982e-05,Jaffna Proper,2020-09-22,2020-09-23
7.173251166706291e-05,Jaffna Proper,2020-09-23,2020-09-24
0.0001299862900971,Jaffna Proper,2020-09-24,2020-09-25
,Jaffna Proper,2020-09-25,2020-09-26
,Jaffna Proper,2020-09-26,2020-09-27
5.382526607432863e-05,Jaffna Proper,2020-09-27,2020-09-28
0.0001295834376846,Jaffna Proper,2020-09-28,2020-09-29
0.0003810656672329,Jaffna Proper,2020-09-29,2020-09-30
4.928327152067086e-05,Jaffna Proper,2020-09-30,2020-10-01
6.296224980034368e-05,Jaffna Proper,2020-10-01,2020-10-02
0.0002598220063604,Jaffna Proper,2020-10-02,2020-10-03
0.0001934158226955,Jaffna Proper,2020-10-03,2020-10-04
8.34398709353693e-05,Jaffna Proper,2020-10-04,2020-10-05
8.488387741184372e-05,Jaffna Proper,2020-10-05,2020-10-06
0.0002430397001973,Jaffna Proper,2020-10-06,2020-10-07
0.0001168220216383,Jaffna Proper,2020-10-07,2020-10-08
8.146712743571523e-05,Jaffna Proper,2020-10-08,2020-10-09
0.0002778117317404,Jaffna Proper,2020-10-09,2020-10-10
0.000115520139725,Jaffna Proper,2020-10-10,2020-10-11
0.0001846333626787,Jaffna Proper,2020-10-11,2020-10-12
0.0001251067236049,Jaffna Proper,2020-10-12,2020-10-13
9.260370965853436e-05,Jaffna Proper,2020-10-13,2020-10-14
,Jaffna Proper,2020-10-14,2020-10-15
8.234367828368011e-05,Jaffna Proper,2020-10-15,2020-10-16
5.0840732445129146e-05,Jaffna Proper,2020-10-16,2020-10-17
0.0001679605259141,Jaffna Proper,2020-10-17,2020-10-18
,Jaffna Proper,2020-10-18,2020-10-19
0.0001271985829656,Jaffna Proper,2020-10-19,2020-10-20
,Jaffna Proper,2020-10-20,2020-10-21
